No,Mood,Quotes
1,Joy,"""The purpose of life is not to be happy, but to be joyful."" - Ralph Waldo Emerson"
2,Joy,"""Happiness depends upon ourselves."" - Aristotle"
3,Joy,"""Joy is not in things; it is in us."" - Richard Wagner"
4,Joy,"""Life is short, and it is up to you to make it sweet."" - Sarah Louise Delany"
5,Joy,"""The best way to pay for a lovely moment is to enjoy it."" - Richard Bach"
6,Joy,"""There are as many nights as days, and the one is just as long as the other in the soul."" - Emily Dickinson"
7,Joy,"""Let us always meet each other with a smile, for the smile is the beginning of love."" - Mother Teresa"
8,Joy,"""Joy is a net of love by which you can catch souls."" - Mother Teresa"
9,Joy,"""Do not dwell in the past, do not dream of the future, concentrate the mind on the present moment."" - Buddha"
10,Joy,"""Happiness is not something ready-made. It comes from your own actions."" - Dalai Lama"
11,Joy,"""In the end, we only regret the chances we didn't take."" - Lewis Carroll"
12,Joy,"""Be the reason someone smiles today."" - Unknown"
13,Joy,"""When we do the best we can, we never know what miracle is wrought in our life, or in the life of another."" - Helen Keller"
14,Joy,"""Laughter is timeless, imagination has no age, and dreams are forever."" - Walt Disney"
15,Joy,"""Happiness is the highest good."" - Aristotle"
16,Joy,"""Live life as if everything is rigged in your favor."" - Rumi"
17,Joy,"""Gratitude turns what we have into enough."" - Anonymous"
18,Joy,"""The more you praise and celebrate your life, the more there is in life to celebrate."" - Oprah Winfrey"
19,Joy,"""A day without laughter is a day wasted."" - Charlie Chaplin"
20,Joy,"""Every moment is a fresh beginning."" - T.S. Eliot"
21,Joy,"""Happiness is a direction, not a place."" - Sydney J. Harris"
22,Joy,"""When one door of happiness closes, another opens."" - Helen Keller"
23,Joy,"""To live is to suffer, to survive is to find some meaning in the suffering."" - Friedrich Nietzsche"
24,Joy,"""Joy is the simplest form of gratitude."" - Karl Barth"
25,Joy,"""Be happy for this moment. This moment is your life."" - Omar Khayyam"
26,Joy,"""Keep smiling, because life is a beautiful thing and there’s so much to smile about."" - Marilyn Monroe"
27,Joy,"""If you want to be happy, be."" - Leo Tolstoy"
28,Joy,"""A joyful heart is the inevitable result of a heart burning with love."" - Mother Teresa"
29,Joy,"""When you’re doing what you love, you’re always in a state of joy."" - Unknown"
30,Joy,"""Happiness is a choice, not a result."" - Ralph Marston"
31,Sadness,"""Tears are words that need to be written."" - Paulo Coelho"
32,Sadness,"""It’s sad when someone you know becomes someone you knew."" - Henry Rollins"
33,Sadness,"""Sadness flies away on the wings of time."" - Jean de La Fontaine"
34,Sadness,"""The walls we build around us to keep sadness out also keeps out the joy."" - Jim Rohn"
35,Sadness,"""No one can make you feel inferior without your consent."" - Eleanor Roosevelt"
36,Sadness,"""When you feel sad, it's okay to feel that way. It’s just part of life."" - Unknown"
37,Sadness,"""It's okay to not be okay as long as you are not giving up."" - Karen Salmansohn"
38,Sadness,"""The greatest pain that comes from love is loving someone you can never have."" - Unknown"
39,Sadness,"""Sometimes, you have to let go of the one thing that’s hurting you."" - Unknown"
40,Sadness,"""The pain of parting is nothing to the joy of meeting again."" - Charles Dickens"
41,Sadness,"""You don’t have to be strong all the time. It’s okay to feel sad."" - Unknown"
42,Sadness,"""Sometimes the people you love don’t understand your pain."" - Unknown"
43,Sadness,"""It's hard to forget someone who gave you so much to remember."" - Unknown"
44,Sadness,"""A heart that’s been broken is the most real thing you’ll ever hold."" - Unknown"
45,Sadness,"""Grief is the price we pay for love."" - Queen Elizabeth II"
46,Sadness,"""Sadness is but a wall between two gardens."" - Kahlil Gibran"
47,Sadness,"""Life is tough, but so are you."" - Unknown"
48,Sadness,"""You never know how strong you are until being strong is your only choice."" - Bob Marley"
49,Sadness,"""The only thing that can heal a broken heart is time."" - Unknown"
50,Sadness,"""Time heals all wounds."" - Geoffrey Chaucer"
51,Sadness,"""You don’t have to forget, you just have to let go."" - Unknown"
52,Sadness,"""Grief is the price we pay for love."" - Elizabeth II"
53,Sadness,"""It is better to have loved and lost than never to have loved at all."" - Alfred Lord Tennyson"
54,Sadness,"""The greatest sorrow is to know that you have lost something you can never get back."" - Unknown"
55,Sadness,"""Sometimes, the hardest thing and the right thing are the same."" - Unknown"
56,Sadness,"""What hurts the most is not being able to say goodbye."" - Unknown"
57,Sadness,"""Sometimes the pain is just too much to bear."" - Unknown"
58,Sadness,"""Tears come from the heart and not from the brain."" - Leonardo da Vinci"
59,Sadness,"""I never wanted to be the one to say goodbye."" - Unknown"
60,Sadness,"""Sorrow is how we learn to appreciate joy."" - Unknown"
61,Anger,"""Holding onto anger is like drinking poison and expecting the other person to die."" - Buddha"
62,Anger,"""Anger is a temporary madness."" - Horace"
63,Anger,"""Speak when you are angry, and you will make the best speech you will ever regret."" - Ambrose Bierce"
64,Anger,"""Anger is never without a reason, but seldom with a good one."" - Benjamin Franklin"
65,Anger,"""For every minute you remain angry, you give up sixty seconds of peace of mind."" - Ralph Waldo Emerson"
66,Anger,"""Whatever is begun in anger ends in shame."" - Benjamin Franklin"
67,Anger,"""He who angers you conquers you."" - Elizabeth Kenny"
68,Anger,"""Anger makes dull men witty, but it keeps them poor."" - Francis Bacon"
69,Anger,"""Anger is an acid that can do more harm to the vessel in which it is stored than to anything on which it is poured."" - Mark Twain"
70,Anger,"""People who fly into a rage always make a bad landing."" - Will Rogers"
71,Anger,"""Anger and intolerance are the enemies of correct understanding."" - Mahatma Gandhi"
72,Anger,"""The best remedy for anger is delay."" - Thomas Paine"
73,Anger,"""He who angers you conquers you."" - Elizabeth Kenny"
74,Anger,"""You will not be punished for your anger, you will be punished by your anger."" - Buddha"
75,Anger,"""A fool gives full vent to his anger, but a wise man keeps himself under control."" - Proverbs 29:11"
76,Anger,"""Anger is a destructive force, but we can learn how to tame it."" - Unknown"
77,Anger,"""You can't calm the storm... so stop trying. What you can do is calm yourself. The storm will pass."" - Timber Hawkeye"
78,Anger,"""Anger is a short madness."" - Horace"
79,Anger,"""Every time we allow anger to take control, we’re giving away our happiness."" - Unknown"
80,Anger,"""Anger is a reaction, how you react is your choice."" - Unknown"
81,Anger,"""Anger is one letter short of danger."" - Unknown"
82,Anger,"""Don't let anger control you, don't let your thoughts control you."" - Unknown"
83,Anger,"""Anger is an emotional response to a perceived injustice."" - Unknown"
84,Anger,"""Anger is a wind which blows out the lamp of the mind."" - Robert G. Ingersoll"
85,Anger,"""The greatest remedy for anger is forgiveness."" - Unknown"
86,Anger,"""Anger is a bad counselor."" - Unknown"
87,Anger,"""Anger clouds the mind."" - Unknown"
88,Anger,"""If you're not angry, you're not paying attention."" - Unknown"
89,Anger,"""Anger is one letter away from danger."" - Unknown"
90,Anger,"""Anger is the enemy of peace."" - Unknown"
91,Love,"""Love is the bridge between you and everything."" - Rumi"
92,Love,"""To love and be loved is to feel the sun from both sides."" - David Viscott"
93,Love,"""Love is not what you say, love is what you do."" - Unknown"
94,Love,"""In dreams and in love, there are no impossibilities."" - Janos Arnay"
95,Love,"""Where there is love, there is life."" - Mahatma Gandhi"
96,Love,"""The best thing to hold onto in life is each other."" - Audrey Hepburn"
97,Love,"""True love is inexhaustible; the more you give, the more you have."" - Antoine de Saint-Exupéry"
98,Love,"""Love does not dominate; it cultivates."" - Johann Wolfgang von Goethe"
99,Love,"""Love is composed of a single soul inhabiting two bodies."" - Aristotle"
100,Love,"""Being deeply loved by someone gives you strength, while loving someone deeply gives you courage."" - Lao Tzu"
101,Love,"""Love is a canvas furnished by nature and embroidered by imagination."" - Voltaire"
102,Love,"""Love is when the other person's happiness is more important than your own."" - H. Jackson Brown Jr."
103,Love,"""To love is to recognize yourself in another."" - Eckhart Tolle"
104,Love,"""You know you are in love when you can’t fall asleep because reality is finally better than your dreams."" - Dr. Seuss"
105,Love,"""Love is not about possession, it’s about appreciation."" - Unknown"
106,Love,"""The greatest thing you’ll ever learn is just to love and be loved in return."" - Eden Ahbez"
107,Love,"""Love is the only force capable of transforming an enemy into a friend."" - Martin Luther King Jr."
108,Love,"""Love takes off masks that we fear we cannot live without and know we cannot live within."" - James Baldwin"
109,Love,"""The heart has its reasons of which reason knows nothing."" - Blaise Pascal"
110,Love,"""Love cures people, both the ones who give it and the ones who receive it."" - Karl Menninger"
111,Love,"""To love and be loved is to feel the warmth of life itself."" - Unknown"
112,Love,"""Love is the silent saying and saying of a single name."" - Mignon McLaughlin"
113,Love,"""Love is not about how much you say 'I love you,' but how much you prove it."" - Unknown"
114,Love,"""Love is the greatest refreshment in life."" - Pablo Picasso"
115,Love,"""You don’t marry someone you can live with – you marry someone you cannot live without."" - Unknown"
116,Love,"""Love looks not with the eyes, but with the mind."" - William Shakespeare"
117,Love,"""The first duty of love is to listen."" - Paul Tillich"
118,Love,"""Love recognizes no barriers."" - Maya Angelou"
119,Love,"""Love is a friendship set to music."" - Joseph Campbell"
120,Love,"""Love is the ultimate expression of the will to live."" - Tom Wolfe"
121,Fear,"""Do the thing you fear, and the death of fear is certain."" - Ralph Waldo Emerson"
122,Fear,"""Fear is only as deep as the mind allows."" - Japanese Proverb"
123,Fear,"""The cave you fear to enter holds the treasure you seek."" - Joseph Campbell"
124,Fear,"""Fear defeats more people than any other one thing in the world."" - Ralph Waldo Emerson"
125,Fear,"""Don’t let the fear of striking out keep you from playing the game."" - Babe Ruth"
126,Fear,"""Fear is the path to the dark side."" - Yoda"
127,Fear,"""Courage is not the absence of fear, but the triumph over it."" - Nelson Mandela"
128,Fear,"""Fear has a large shadow, but he himself is small."" - Ruth Gendler"
129,Fear,"""The only thing we have to fear is fear itself."" - Franklin D. Roosevelt"
130,Fear,"""Fear is temporary. Regret is forever."" - Unknown"
131,Fear,"""Fear doesn’t shut you down; it wakes you up."" - Veronica Roth"
132,Fear,"""Fear is not real. It is the product of thoughts you create."" - Will Smith"
133,Fear,"""Fear is the thief of dreams."" - Unknown"
134,Fear,"""What would life be if we had no courage to attempt anything?"" - Vincent Van Gogh"
135,Fear,"""Fear is a reaction. Courage is a decision."" - Winston Churchill"
136,Fear,"""The fears we don’t face become our limits."" - Robin Sharma"
137,Fear,"""Don’t fear failure. Fear being in the exact same place next year as you are today."" - Unknown"
138,Fear,"""Fear makes strangers of people who would be friends."" - Shirley MacLaine"
139,Fear,"""To overcome fear, here’s all you have to do: realize the fear is there, and do the action you fear anyway."" - Peter McWilliams"
140,Fear,"""Fear is the glue that keeps you stuck. Faith is the solvent that sets you free."" - Shannon L. Alder"
141,Fear,"""Fear is an illusion; it’s the absence of love."" - Unknown"
142,Fear,"""Don’t let fear stop you from being great."" - Unknown"
143,Fear,"""Fear of the unknown is the greatest fear of all."" - Yvon Chouinard"
144,Fear,"""Fear is a liar. Face it and prove it wrong."" - Unknown"
145,Fear,"""Face your fears or they will climb over your back."" - Frank Herbert"
146,Fear,"""Fear grows in darkness; if you think there’s a bogeyman around, turn on the light."" - Dorothy Thompson"
147,Fear,"""What we fear doing most is usually what we most need to do."" - Tim Ferriss"
148,Fear,"""Fear is not your enemy. It is a compass pointing to the areas where you need to grow."" - Steve Pavlina"
149,Fear,"""Fear is the opposite of love."" - Unknown"
150,Fear,"""Never let your fear decide your future."" - Unknown"
151,Surprise,"""Life is full of surprises; embrace them all."" - Unknown"
152,Surprise,"""The unexpected is often what changes our lives the most."" - Unknown"
153,Surprise,"""Surprise is the greatest gift which life can grant us."" - Boris Pasternak"
154,Surprise,"""Expect the unexpected, and whenever possible, be the unexpected."" - Lynda Barry"
155,Surprise,"""Sometimes, surprises are the best gifts."" - Unknown"
156,Surprise,"""Life is a series of surprises, and would not be worth taking or keeping if it were not."" - Ralph Waldo Emerson"
157,Surprise,"""The most delightful surprises are those that bring joy to the heart."" - Unknown"
158,Surprise,"""Surprises are what make life colorful."" - Unknown"
159,Surprise,"""The best surprises are the ones you didn’t even know you wanted."" - Unknown"
160,Surprise,"""Life loves to surprise you when you least expect it."" - Unknown"
161,Surprise,"""Every day is a chance for a surprise."" - Unknown"
162,Surprise,"""A little surprise can make a big difference."" - Unknown"
163,Surprise,"""Be open to surprises; they lead to the best adventures."" - Unknown"
164,Surprise,"""The joy of surprise is in its spontaneity."" - Unknown"
165,Surprise,"""Surprises remind us that life is full of possibilities."" - Unknown"
166,Surprise,"""Surprise often opens the door to new opportunities."" - Unknown"
167,Surprise,"""The best things in life are the unexpected ones."" - Unknown"
168,Surprise,"""Surprise is the beginning of wisdom."" - Socrates"
169,Surprise,"""Some of the sweetest moments in life come from unexpected surprises."" - Unknown"
170,Surprise,"""Life’s surprises are what make the journey worthwhile."" - Unknown"
171,Surprise,"""Surprise is the soul of wit."" - Voltaire"
172,Surprise,"""Sometimes the biggest surprises are the ones that teach us the most."" - Unknown"
173,Surprise,"""A surprise is life’s way of keeping us on our toes."" - Unknown"
174,Surprise,"""Surprises keep life interesting."" - Unknown"
175,Surprise,"""Surprises are life’s way of showing us that miracles exist."" - Unknown"
176,Surprise,"""The most memorable moments are often the surprising ones."" - Unknown"
177,Surprise,"""Surprises teach us to adapt and embrace change."" - Unknown"
178,Surprise,"""A life without surprises would be dull and predictable."" - Unknown"
179,Surprise,"""Surprises show us the beauty of spontaneity."" - Unknown"
180,Surprise,"""Never underestimate the power of a good surprise."" - Unknown"