Page_URL,Title,Rating,Reviews,Address,Phone_Number,Price,Category,Jadwal,Plus_code,image,Opsi_Layanan,Penawaran,Pilihan_Makanan,Fasilitas,Suasana,Tipe_pengunjung,Perencanaan,Pembayaran,anak_anak,Parkir
"https://www.google.com/maps/place/Pixel+Coffee+%26+Kitchen/@-7.5652278,110.7660471,14z/data=!4m11!1m3!2m2!1scaffe+solo!6e5!3m6!1s0x2e7a15e8c10d6a39:0xa5070fdd47aeae75!8m2!3d-7.5652278!4d110.802096!15sCgljYWZlIHNvbG9aCyIJY2FmZSBzb2xvkgELY29mZmVlX3Nob3CaASRDaGREU1VoTk1HOW5TMFZKUTBGblNVTmFkRTE2TmpGM1JSQULgAQA!16s%2Fg%2F11ghp_vbc_?entry=ttu&g_ep=EgoyMDI0MTExNy4wIKXMDSoASAFQAw%3D%3D",Pixel Coffee & Kitchen,"4,6",1037,"Jl. Satrio Wibowo No.35, Purwosari, Kec. Laweyan, Kota Surakarta, Jawa Tengah 57142",0271721505,Rp 25–50 rb,Kedai Kopi,"Senin 08.00–23.00
Selasa 08.00–23.00
Rabu 08.00–23.00
Kamis 08.00–23.00
Jumat 08.00–23.00
Sabtu 08.00–23.00
Minggu 08.00–23.00 ","CRM2+WR Purwosari, Kota Surakarta, Jawa Tengah",https://lh5.googleusercontent.com/p/AF1QipPnVUV0Z4_oZrnYq7SRl0nKNb69fTZ_wByrGhpy=w426-h240-k-no,"Tempat duduk di area terbuka
Ambil di tepi jalan
Bawa pulang
Makan di tempat","Hidangan larut malam
Kopi","Brunch
Makan siang
Makan malam
Hidangan penutup",Toilet,"Nyaman
Santai",Berkelompok,Menerima reservasi,"Kartu debit
Kartu kredit
Pembayaran NFC dengan ponsel
Kartu kredit","Cocok untuk anak-anak
Kursi tinggi
Menu anak",Tempat parkir berbayar
"https://www.google.com/maps/place/Namu+Korean+Cafe+Solo/@-7.5960572,110.7864951,14z/data=!4m11!1m3!2m2!1scaffe+solo!6e5!3m6!1s0x2e7a17e8e0692a39:0x618d0105d8ebe507!8m2!3d-7.5960572!4d110.822544!15sCgljYWZlIHNvbG9aCyIJY2FmZSBzb2xvkgEKcmVzdGF1cmFudOABAA!16s%2Fg%2F11h6dpgr6t?entry=ttu&g_ep=EgoyMDI0MTExNy4wIKXMDSoASAFQAw%3D%3D",Namu Korean Cafe Solo,"4,7",1948,"Jl. Kantil Raya Jl. Kaliwingko No.19, Dusun I, Grogol, Kec. Grogol, Kabupaten Sukoharjo, Jawa Tengah 57552",085803753035,Rp 25–50 rb,Restoran,"Senin 08.00–00.00
Selasa 08.00–00.00 
Rabu 08.00–00.00
Kamis 08.00–00.00
Jumat 08.00–00.00
Sabtu 08.00–00.00
Minggu 08.00–00.00","CR3F+H2 Grogol, Kabupaten Sukoharjo, Jawa Tengah",https://lh5.googleusercontent.com/p/AF1QipPsHpYBuebFc_-4JsETC6q4gNArAtk-5h535-po=w426-h240-k-no,"Antar tanpa bertemu
Pesan antar
Bawa pulang
Makan di tempat",Makanan halal,"Sarapan
Brunch
Makan siang
Makan malam
Hidangan penutup
Hidangan larut malam
Kopi","Memiliki bar
Tempat duduk di area terbuka","Nyaman
Santai","Berkelompok
Ramah keluarga",Menerima reservasi,"Kartu debit
Kartu kredit","Cocok untuk anak-anak
Kursi tinggi
Menu anak","Banyak tempat parkir
Tempat parkir berbayar"
"https://www.google.com/maps/place/Solo+Kopi/@-7.5454781,110.7386708,14z/data=!4m11!1m3!2m2!1scaffe+solo!6e5!3m6!1s0x2e7a1535fde5d533:0x12521ef5bc4df971!8m2!3d-7.5454781!4d110.7747197!15sCgljYWZlIHNvbG9aCyIJY2FmZSBzb2xvkgELY29mZmVlX3Nob3DgAQA!16s%2Fg%2F11h25gjn65?entry=ttu&g_ep=EgoyMDI0MTExNy4wIKXMDSoASAFQAw%3D%3D",Solo Kopi,"4,6",2301,"
Jl. Adi Sucipto No.31A, Kenaiban, Blulukan, Kec. Colomadu, Kabupaten Karanganyar, Jawa Tengah 57174",081227777189,Rp 25–50 rb,Kedai Kopi,"Senin 08.00–00.00
Selasa 08.00–00.00 
Rabu 08.00–00.00
Kamis 08.00–00.00
Jumat 08.00–00.00
Sabtu 08.00–00.00
Minggu 08.00–00.00","FQ3F+RV Blulukan, Kabupaten Karanganyar, Jawa Tengah",https://lh5.googleusercontent.com/p/AF1QipNW4h5dF8odP3onX667moB-QD_uys7rIsV3CsaO=w408-h408-k-no,"Tempat duduk di area terbuka
Pesan antar
Bawa pulang
Makan di tempat","Hidangan organik
Kopi","Sarapan
Brunch
Makan siang
Makan malam
Hidangan penutup","
Toilet","Nyaman
Santai","
Berkelompok","
Menerima reservasi","Kartu debit
Kartu kredit","Cocok untuk anak-anak
Kursi tinggi
Menu anak","Banyak tempat parkir
Tempat parkir berbayar"
"https://www.google.com/maps/place/KOTA+Coffee+%26+Space/@-7.5699537,110.7919838,14z/data=!4m11!1m3!2m2!1scaffe+solo!6e5!3m6!1s0x2e7a15416543df49:0x14284be70dc0b1e6!8m2!3d-7.5699537!4d110.8280327!15sCgpjYWZmZSBzb2xvWgwiCmNhZmZlIHNvbG-SAQtjb2ZmZWVfc2hvcOABAA!16s%2Fg%2F11sdd29lsm?entry=ttu&g_ep=EgoyMDI0MTExNy4wIKXMDSoASAFQAw%3D%3D",KOTA Coffee & Space,"4,8",249,"
Jl. Ronggowarsito No.18, Kp. Baru, Kec. Ps. Kliwon, Kota Surakarta, Jawa Tengah 57133",081334144924,Rp 25–50 rb,Kedai Kopi,"Senin 07.00–00.00
Selasa 07.00–00.00
Rabu 07.00–00.00
Kamis 07.00–00.00
Jumat 07.00–00.00
Sabtu 07.00–00.00
Minggu 07.00–00.00","CRJH+26 Kp. Baru, Kota Surakarta, Jawa Tengah",https://lh5.googleusercontent.com/p/AF1QipNl2PhHXbd7rl8uB_mH2fcwp5FzDBpVdoZ9BcHB=w426-h240-k-no,"Tempat duduk di area terbuka
Antar tanpa bertemu
Pesan antar
Layanan di tempat
Bawa pulang
Makan di tempat","Hidangan larut malam
Hidangan organik
Kopi","Makan malam
Hidangan penutup","Memiliki bar
Toilet","Nyaman
Santai","Berkelompok
Ramah keluarga",Menerima reservasi,Kartu kredit,Cocok untuk anak-anak,"Banyak tempat parkir
Tempat parkir berbayar"
"https://www.google.com/maps/place/Nalla+Coffee/@-7.5699537,110.7919838,14z/data=!4m11!1m3!2m2!1scaffe+solo!6e5!3m6!1s0x2e7a1768380dde0b:0xbae0c3fe0fe6bed8!8m2!3d-7.5591861!4d110.8199741!15sCgljYWZlIHNvbG9aCyIJY2FmZSBzb2xvkgEEY2FmZZoBJENoZERTVWhOTUc5blMwVkpRMEZuU1VSQ2RVbElielZuUlJBQuABAA!16s%2Fg%2F11rmsg7v5k?entry=ttu&g_ep=EgoyMDI0MTExNy4wIKXMDSoASAFQAw%3D%3D",Nalla Coffee,"4,6",307,"
Jl. Gajahmada No.133, RT.05/RW.01, Punggawan, Kec. Banjarsari, Kota Surakarta, Jawa Tengah 57132",081991710720,Rp 25–50 rb,Kafe,"Senin 08.00–23.00
Selasa 08.00–23.00 
Rabu 08.00–23.00
Kamis 08.00–23.00
Jumat 08.00–23.00
Sabtu 08.00–23.00
Minggu 08.00–23.00","CRR9+8X Punggawan, Kota Surakarta, Jawa Tengah",https://lh5.googleusercontent.com/p/AF1QipN2_1zyc_qhcqlw6aNDoaJOdANODI1--1ZXiC7b=w408-h510-k-no,"Tempat duduk di area terbuka
Pesan antar
Bawa pulang
Makan di tempat
Area luar boleh dimasuki anjing","Alkohol
Kopi","Sarapan
Brunch
Makan siang
Makan malam
Hidangan penutup","Musik live
Pertunjukan live
Memiliki bar
Toilet
Toilet netral gender
Wi-Fi
Wi-Fi Gratis","Nyaman
Santai","Berkelompok
Ramah keluarga",Menerima reservasi,"Kartu debit
Kartu kredit",Cocok untuk anak-anak,"Banyak tempat parkir
Tempat parkir berbayar"
"https://www.google.com/maps/place/Cold+'N+Brew+Veteran/@-7.5699537,110.7919838,14z/data=!4m11!1m3!2m2!1scaffe+solo!6e5!3m6!1s0x2e7a166e3c33209d:0xcaf9a49a7b68961a!8m2!3d-7.582122!4d110.8209122!15sCgpjYWZmZSBzb2xvWgwiCmNhZmZlIHNvbG-SAQtjb2ZmZWVfc2hvcJoBJENoZERTVWhOTUc5blMwVkpRMEZuU1VORGRXWkRYM1ZCUlJBQuABAA!16s%2Fg%2F11clm153md?entry=ttu&g_ep=EgoyMDI0MTExNy4wIKXMDSoASAFQAw%3D%3D",Cold 'N Brew Veteran,"4,6",2278,"
Jl. Veteran No.136, Gajahan, Kec. Ps. Kliwon, Kota Surakarta, Jawa Tengah 57156",02716793355,Rp 25–50 rb,Kedai Kopi,"Senin 07.00–23.00
Selasa 07.00–23.00
Rabu 07.00–23.00
Kamis 07.00–23.00
Jumat 07.00–23.00
Sabtu 07.00–23.00
Minggu 07.00–23.00","CR9C+59 Gajahan, Kota Surakarta, Jawa Tengah",https://lh5.googleusercontent.com/p/AF1QipNTNm0JMtW1pHb_tJH8DGMFRGT2pCdFlFC1moUc=w408-h272-k-no,"Tempat duduk di area terbuka
Antar tanpa bertemu
Pesan antar
Layanan di tempat
Bawa pulang
Makan di tempat","Kopi
Makanan happy hour
Makanan siap saji
Minuman happy hour","Sarapan
Brunch
Makan siang
Makan malam
Katering
Hidangan penutup","Pertunjukan live
Memiliki bar
Toilet
Wi-Fi
Wi-Fi Gratis","Nyaman
Santai","Berkelompok
Ramah keluarga",Menerima reservasi,"Kartu debit
Kartu kredit","Cocok untuk anak-anak
Kursi tinggi
Menu anak","Parkir di jalan berbayar
Tempat parkir berbayar"
"https://www.google.com/maps/place/AM-PM+Jajar/@-7.5516337,110.7559907,14z/data=!4m11!1m3!2m2!1scaffe+solo!6e5!3m6!1s0x2e7a143c4d0f0723:0xb649760fa215cde4!8m2!3d-7.5516337!4d110.7920396!15sCgljYWZlIHNvbG9aCyIJY2FmZSBzb2xvkgELY29mZmVlX3Nob3CaASRDaGREU1VoTk1HOW5TMFZKUTBGblNVTkxkblpRY3paM1JSQULgAQA!16s%2Fg%2F11fxdzc7dz?entry=ttu&g_ep=EgoyMDI0MTExNy4wIKXMDSoASAFQAw%3D%3D",AM-PM Jajar,"4,4",1269,"
Jl. Adi Sucipto No.73, Kerten, Kec. Laweyan, Kota Surakarta, Jawa Tengah 57144",0271733808,Rp 25–50 rb,Kedai Kopi,"Senin Buka 24 Jam
Selasa Buka 24 Jam
Rabu Buka 24 Jam
Kamis Buka 24 Jam
Jumat Buka 24 Jam
Sabtu Buka 24 Jam
Minggu Buka 24 Jam","CQXR+8R Kerten, Kota Surakarta, Jawa Tengah",https://lh5.googleusercontent.com/p/AF1QipOqehOzPiWTL8ESkV6jzFcJ3T3CBIrcfw7CgM0B=w493-h240-k-no,"Tempat duduk di area terbuka
Antar tanpa bertemu
Pesan antar
Bawa pulang
Makan di tempat","Alkohol
Bir
Hidangan larut malam
Koktail
Kopi","Brunch
Makan siang
Makan malam
Hidangan penutup","Musik live
Pertunjukan live
Memiliki bar
Toilet","Nyaman
Santai",Berkelompok,Menerima reservasi,"Kartu debit
Kartu kredit","Kursi tinggi
Menu anak","Banak tempat parkir
Tempat parkir berbayar"
"https://www.google.com/maps/place/Cafe+Tiga+Ceret/@-7.568274,110.7868501,14z/data=!4m11!1m3!2m2!1scaffe+solo!6e5!3m6!1s0x2e7a142867572b07:0x6e5240772b78e604!8m2!3d-7.568274!4d110.822899!15sCgpjYWZmZSBzb2xvWgwiCmNhZmZlIHNvbG-SARtjZW50cmFsX2phdmFuZXNlX3Jlc3RhdXJhbnSaASNDaFpEU1VoTk1HOW5TMFZKUTBGblNVTmxlbVZVWjA5bkVBReABAA!16s%2Fg%2F11b6msn5t1?entry=ttu&g_ep=EgoyMDI0MTExNy4wIKXMDSoASAFQAw%3D%3D",Cafe Tiga Ceret,"4,3",6688,"
Jl. Ronggowarsito No.97, Keprabon, Kec. Banjarsari, Kota Surakarta, Jawa Tengah 57131",0271630078,Rp 25–50 rb,Restoran,"Senin 12.00–23.30
Selasa 12.00–23.30
Rabu 12.00–23.30
Kamis 12.00–23.30
Jumat 12.00–23.30
Sabtu 12.00–23.30
Minggu 12.00–23.30","CRJF+M5 Keprabon, Kota Surakarta, Jawa Tengah",https://lh5.googleusercontent.com/p/AF1QipNe74YT5FLYqhIOORr6UTZj9zVh40qq9Ml0tFp9=w408-h306-k-no,"Tempat duduk di area terbuka
Pesan antar
Bawa pulang
Makan di tempat","Hidangan larut malam
Kopi
Makanan halal","Brunch
Makan siang
Makan malam
Hidangan penutup","Toilet
Musik live","Nyaman
Santai",Berkelompok,Menerima reservasi,Hanya Tunai,"Cocok untuk anak-anak
Menu anak",Tempat parkir berbayar
"https://www.google.com/maps/place/a.m+-+p.m/@-7.5640419,110.7648354,14z/data=!4m11!1m3!2m2!1scaffe+solo!6e5!3m6!1s0x2e7a142ea805caf9:0xb9cb548fe60ca103!8m2!3d-7.5640419!4d110.8008843!15sCgljYWZlIHNvbG9aCyIJY2FmZSBzb2xvkgEEY2FmZeABAA!16s%2Fg%2F11cn5lfs1h?entry=ttu&g_ep=EgoyMDI0MTExNy4wIKXMDSoASAFQAw%3D%3D",a.m - p.m,"4,4",1747,"
Jl. Slamet Riyadi No.408, Purwosari, Kec. Laweyan, Kota Surakarta, Jawa Tengah 57144",0271728929,Rp 25–50 rb,Kafe,"Senin 07.00–03.00
Selasa 07.00–03.00
Rabu 07.00–03.00
Kamis 07.00–03.00
Jumat 07.00–03.00
Sabtu 07.00–03.00
Minggu 07.00–03.00","CRP2+99 Purwosari, Kota Surakarta, Jawa Tengah",https://lh5.googleusercontent.com/p/AF1QipPxxfI0SwO43bPN90UyL2q4Xj9lRyqOi64Cm-s9=w480-h240-k-no,"Tempat duduk di area terbuka
Pesan antar
Bawa pulang
Makan di tempat","Alkohol
Anggur
Bir
Hidangan larut malam
Koktail
Kopi
Minuman keras","Sarapan
Brunch
Makan siang
Makan malam
Katering
Hidangan penutup","Musik live
Pertunjukan live
Memiliki bar
Toilet","Nyaman
Santai",Berkelompok,"
Menerima reservasi",Kartu kredit,"Kursi tinggi
Menu anak","Banyak tempat parkir
Tempat parkir berbayar"
"https://www.google.com/maps/place/Saudagar+Laweyan/@-7.5640419,110.7648354,14z/data=!4m11!1m3!2m2!1scaffe+solo!6e5!3m6!1s0x2e7a1536aecdc595:0x3afc7a2de411457b!8m2!3d-7.5705294!4d110.7959434!15sCgljYWZlIHNvbG9aCyIJY2FmZSBzb2xvkgEKcmVzdGF1cmFudOABAA!16s%2Fg%2F11f5bx5s0w?entry=ttu&g_ep=EgoyMDI0MTExNy4wIKXMDSoASAFQAw%3D%3D",Saudagar Laweyan,"4,4",137,"
Jl. Gondosuli No.125, Laweyan, Kec. Laweyan, Kota Surakarta, Jawa Tengah 57148",08113011125,Rp 25–50 rb,Restoran,"Senin 08.00–23.00
Selasa 08.00–23.00
Rabu 08.00–23.00
Kamis 08.00–23.00
Jumat 08.00–00.00
Sabtu 08.00–00.00
Minggu 08.00–00.00","CQHW+Q9 Laweyan, Kota Surakarta, Jawa Tengah",https://lh5.googleusercontent.com/p/AF1QipOWUJgIueNSXWDbbY6YZz0Zmi5TxnYFpskUutVZ=w408-h306-k-no,"Tempat duduk di area terbuka
Bawa pulang
Makan di tempat","Hidangan larut malam
Kopi
Makanan halal","Sarapan
Brunch
Makan siang
Makan malam
Hidangan penutup","Musik live
Toilet
Wi-Fi
Wi-Fi Gratis","Nyaman
Santai",Berkelompok,Menerima reservasi,"Kartu debit
Kartu kredit
Pembayaran NFC dengan ponsel","Cocok untuk anak-anak
Kursi tinggi","Agak sulit menemukan tempat parkir
Tempat parkir berbayar"
"https://www.google.com/maps/place/Tanaku+Kopi/@-7.5659259,110.7847485,14z/data=!4m11!1m3!2m2!1scaffe+solo!6e5!3m6!1s0x2e7a178591febcf3:0xb78300c2ed3799d2!8m2!3d-7.5659259!4d110.8207974!15sCgljYWZlIHNvbG9aCyIJY2FmZSBzb2xvkgELY29mZmVlX3Nob3CaASRDaGREU1VoTk1HOW5TMFZKUTBGblNVTjRPRTU1Um5kUlJSQULgAQA!16s%2Fg%2F11h52q9kp1?entry=ttu&g_ep=EgoyMDI0MTExNy4wIKXMDSoASAFQAw%3D%3D",Tanaku Kopi,"4,7",107,"
Jl. Yosodipuro No.11, Ketelan, Kec. Banjarsari, Kota Surakarta, Jawa Tengah 57131",08112509123,Rp 25–50 rb,Kedai Kopi,"Senin 07.00–23.00
Selasa 07.00–23.00
Rabu 07.00–23.00
Kamis 07.00–23.00
Jumat 07.00–23.00
Sabtu 07.00–23.00
Minggu 07.00–23.00","CRMC+J8 Ketelan, Kota Surakarta, Jawa Tengah",https://lh5.googleusercontent.com/p/AF1QipNs9e53wikWn8x8y1oRgDJkidRV36KuO3HCSskl=w520-h240-k-no,"Tempat duduk di area terbuka
Bawa pulang
Makan di tempat","Kopi
Minuman happy hour","Sarapan
Brunch
Makan siang
Makan malam
Hidangan penutup",Toilet,"Nyaman
Santai",Berkelompok,Menerima reservasi,"Kartu debit
Kartu kredit",Kursi tinggi,Tempat parkir berbayar
"https://www.google.com/maps/place/Couvee+-+Solo/@-7.5659259,110.7847485,14z/data=!4m11!1m3!2m2!1scaffe+solo!6e5!3m6!1s0x2e7a1702b478aee5:0x2b064fa8d11376d4!8m2!3d-7.5611877!4d110.8153005!15sCgpjYWZmZSBzb2xvWgwiCmNhZmZlIHNvbG-SAQtjb2ZmZWVfc2hvcOABAA!16s%2Fg%2F11rq2m23w5?entry=ttu&g_ep=EgoyMDI0MTExNy4wIKXMDSoASAFQAw%3D%3D",Couvee - Solo,"4,7",747,"
Jl. Prof. DR. Supomo No.68, Punggawan, Kec. Banjarsari, Kota Surakarta, Jawa Tengah 57139",081327180870,Rp 25–50 rb,Kedai Kopi,"Senin 08.00–00.00
Selasa 08.00–00.00
Rabu 08.00–00.00
Kamis 08.00–00.00
Jumat 08.00–00.00
Sabtu 08.00–00.00
Minggu 08.00–00.00","CRQ8+G4 Punggawan, Kota Surakarta, Jawa Tengah",https://lh5.googleusercontent.com/p/AF1QipMDNgXPeZDsjMbr1rIGqnCAxA2TL5eDFMU1thI9=w425-h240-k-no,"Tempat duduk di area terbuka
Antar tanpa bertemu
Pesan antar
Layanan di tempat
Bawa pulang
Makan di tempat",Kopi,Hidangan penutup,"Pintu masuk khusus pengguna kursi roda
Toilet","Nyaman
Santai","Berkelompok
Ramah keluarga",Tidak Menerima reservasi,"Kartu debit
Kartu kredit",Cocok untuk anak-anak,"Agak sulit menemukan tempat parkir
Tempat parkir berbayar"
"https://www.google.com/maps/place/Pinara+Coffee/@-7.5692308,110.7711981,14z/data=!4m11!1m3!2m2!1scaffe+solo!6e5!3m6!1s0x2e7a15c3a9e01db7:0xba1637c87bb616be!8m2!3d-7.5692308!4d110.807247!15sCgpjYWZmZSBzb2xvWgwiCmNhZmZlIHNvbG-SAQtjb2ZmZWVfc2hvcJoBJENoZERTVWhOTUc5blMwVkpRMEZuU1VSWGFtVnBYMjVuUlJBQuABAA!16s%2Fg%2F11h84kqm_t?entry=ttu&g_ep=EgoyMDI0MTExNy4wIKXMDSoASAFQAw%3D%3D",Pinara Coffee,"4,6",451,"
Jl. Kebangkitan Nasional No.85, Penumping, Kec. Laweyan, Kota Surakarta, Jawa Tengah 57141",081327487739,Rp 25–50 rb,Kedai Kopi,"Senin 07.00–23.00
Selasa 07.00–23.00 
Rabu 07.00–23.00
Kamis 07.00–23.00
Jumat 07.00–23.00
Sabtu 07.00–23.00
Minggu 07.00–23.00","CRJ4+8V Penumping, Kota Surakarta, Jawa Tengah",https://lh5.googleusercontent.com/p/AF1QipOTzoLSt_9YncppDYQ3SGeNcKyUDfhvublYOhTB=w426-h240-k-no,"Tempat duduk di area terbuka
Antar tanpa bertemu
Pesan antar
Bawa pulang
Makan di tempat",Kopi,"Sarapan
Brunch
Makan siang
Makan malam
Hidangan penutup","Toilet
Wi-Fi
Wi-Fi Gratis","Nyaman
Santai","Berkelompok
Ramah keluarga",Menerima reservasi,"Kartu debit
Kartu kredit
Pembayaran NFC dengan ponsel",Biasa,"Banyak tempat parkir
Tempat parkir berbayar"
"https://www.google.com/maps/place/Tomuan+Coffee+%26+Eatery/@-7.5692308,110.7711981,14z/data=!4m11!1m3!2m2!1scaffe+solo!6e5!3m6!1s0x2e7a158f7cd53f99:0x3d7df645cb315225!8m2!3d-7.5549666!4d110.8090482!15sCgpjYWZmZSBzb2xvWgwiCmNhZmZlIHNvbG-SAQpyZXN0YXVyYW504AEA!16s%2Fg%2F11j4y7k0qz?entry=ttu&g_ep=EgoyMDI0MTExNy4wIKXMDSoASAFQAw%3D%3D",Tomuan Coffee & Eatery,"4,7",719,"
Jl. Menteri Supeno No.7B, Manahan, Kec. Banjarsari, Kota Surakarta, Jawa Tengah 57139",081228501213,Rp 25–50 rb,Restoran,"Senin 09.00–00.00
Selasa 09.00–00.00
Rabu 09.00–00.00
Kamis 09.00–00.00
Jumat 09.00–00.00
Sabtu 09.00–00.00
Minggu 09.00–00.00","CRW5+2J Manahan, Kota Surakarta, Jawa Tengah",https://lh5.googleusercontent.com/p/AF1QipM4d9pttAqgqZXkpFdm4NEBUo4mWTu6LUYgO35t=w408-h725-k-no,"Tempat duduk di area terbuka
Antar tanpa bertemu
Pesan antar
Bawa pulang
Makan di tempat","Kopi
Makanan halal
Makanan happy hour
Minuman happy hour
Ruang makan pribadi","Sarapan
Brunch
Makan siang
Makan malam
Katering
Hidangan penutup","Kursi khusus pengguna kursi roda
Pintu masuk khusus pengguna kursi roda
Toilet
Wi-Fi
Wi-Fi Gratis","Nyaman
Santai","Berkelompok
Ramah keluarga",Wajib reservasi,"Kartu debit
Kartu kredit
Kupon makanan
Pembayaran NFC dengan ponsel","Cocok untuk anak-anak
Menu anak","Banyak tempat parkir
Tempat parkir berbayar"
